Company,Market cap($B),Share Price,Pct_change,Trend,Country
NTPC Limited,44.15,4.55,1.35,down,India
Bank Rakyat Indonesia,44.09,0.29,1.87,down,Indonesia
Allstate,44.05,166.91,1.97,up,USA
Givaudan,43.97,4766.0,0.49,down,Switzerland
Paychex,43.8,121.63,2.81,up,USA
Cencora,43.75,222.2,0.18,down,USA
Disco Corp.,43.41,400.64,1.49,up,Japan
Lennar,43.38,159.18,0.44,down,USA
Barclays,43.35,11.74,1.21,up,UK
CITIC Bank,43.35,0.89,1.37,down,China
MPLX,43.3,42.36,1.07,up,USA
Datadog,43.28,129.42,1.26,up,USA
DoorDash,43.2,105.65,0.62,up,USA
Royal Caribbean,43.16,167.72,0.79,up,USA
Compagnie de Saint-Gobain,43.1,85.86,0.23,up,France
Takeda Pharmaceutical,43.02,13.39,0.37,down,Japan
Kotak Mahindra Bank,42.95,21.61,2.07,down,India
Luxshare Precision,42.79,5.94,5.32,up,China
Dominion Energy,42.77,51.03,1.81,down,USA
Hindustan Aeronautics,42.66,63.79,3.18,down,India
Samsung Biologics,42.43,596.16,0.61,up,S. Korea
Adani Enterprises,42.42,37.22,0.61,up,India
Old Dominion Freight Line,42.42,195.25,2.64,up,USA
BASF,42.4,47.51,0.13,down,Germany
Monolithic Power Systems,42.38,870.91,1.78,up,USA
Fidelity National Information Services,42.33,76.11,0.41,down,USA
Daikin,42.0,143.47,2.03,down,Japan
Jingdong Mall,41.83,26.65,5.33,down,China
CaixaBank,41.48,5.71,0.04,up,Spain
Ferguson,41.46,205.74,0.85,up,UK
Kering,41.44,338.11,3.47,down,France
Fomento Económico Mexicano,41.36,115.61,1.61,down,Mexico
Sea (Garena),41.27,71.87,2.65,down,Singapore
UOB,41.2,24.6,0.3,up,Singapore
Lonza,41.17,570.96,0.93,down,Switzerland
IQVIA,41.15,225.89,0.77,up,USA
Mitsubishi Heavy Industries,41.08,12.23,5.04,up,Japan
Danone,40.83,63.45,0.27,down,France
TC Energy,40.69,39.17,0.41,up,Canada
Cheniere Energy,40.66,177.66,0.06,up,USA
Nordea Bank,40.37,11.49,0.28,down,Finland
UltraTech Cement,40.21,139.56,1.48,down,India
Otis Worldwide,40.2,99.44,0.77,down,USA
Haleon,40.09,8.78,1.35,down,UK
IDEXX Laboratories,39.86,482.7,2.04,down,USA
Ametek,39.83,172.11,1.53,up,USA
Ingersoll Rand,39.82,98.66,1.42,up,Ireland
Wolters Kluwer,39.75,167.99,0.55,up,Netherlands
MSCI,39.73,501.5,0.1,down,USA
Kuwait Finance House,39.68,2389.0,0.14,down,Kuwait
ASM International,39.61,806.72,0.03,down,Netherlands
Verisk Analytics,39.59,277.5,0.04,up,USA
Nucor,39.52,164.87,2.34,up,USA
Cummins,39.51,288.93,1.43,up,USA
FICO,39.29,1590.0,0.1,up,USA
DMart,39.25,60.33,1.02,up,India
Generali,39.23,25.41,0.38,down,Italy
Kraft Heinz,39.2,32.29,0.69,up,USA
Corning,39.19,45.76,0.31,up,USA
